Country,Population,Per_Capita_GNI,Agriculture_Forestry_Fishing,Construction,Exports,Imports,Transport_Communication,Retail_Trade_Hospitality,Gross_National_Income_USD,Gross_Domestic_Product
 El Salvador ,6314167,4294,1413032428,1516255742,8490952259,15753952107,2119720709,4039226097,27112722585,28736940855
 Equatorial Guinea ,1634466,6991,322900081,433954352,6776314042,5326980333,761653086,966801341,11426919250,12430854974
 Ethiopia ,120283026,821,37298985183,15714098271,7537296692,16540790735,4195414074,14874097761,98771506966,99268512532
 Eritrea ,3620312,616,397588790,362017492,696885418,636958978,282974026,262355136,2229672327,2255389718
 Estonia ,1328701,27506,751513193,2183102064,29119437815,29255091032,4854202781,4319012790,36546675581,37191166152
 Fiji ,924610,4376,623887672,92521619,1173264219,2345031311,308127842,472673712,4045925538,4296235427
 Finland ,5535992,54714,6825594329,19918529562,1.17E+11,1.17E+11,25802662605,26786702543,3.03E+11,2.97E+11
 France ,66875883,45535,48514824779,1.48E+11,8.71E+11,9.29E+11,2.83E+11,3.28E+11,3.05E+12,2.96E+12
 French Polynesia ,304032,19915,179178542,183251150,1019164607,2105702919,659502083,825003766,6054675381,6054675381
 Djibouti ,1105557,3254,43575428,131810419,5608227373,6556945938,794274257,1019239017,3596939893,3701419641
 Gabon ,2341179,7358,1145473152,607721115,9862033331,3657687647,2217911570,920417973,17226269728,18520706721
 Georgia ,3757980,4700,1143421615,1310175848,8055098497,10960888842,1548252392,3252367498,17662033115,18696419950
 Gambia ,2639916,753,456986884,256953209,135583292,726966861,122982520,675900414,1988020570,2038414974
 State of Palestine ,5133392,4176,1293555240,969623319,3180200000,10244900000,887108581,4211600562,21434600000,18036800000
 Germany ,83408554,52885,36240345841,2.13E+11,2.00E+12,1.78E+12,3.67E+11,4.38E+11,4.41E+12,4.26E+12
 Ghana ,32833031,2348,15586248345,5047826688,23651778425,22556303288,8926025863,14177249108,77088309100,79082784426
 Kiribati ,128874,3018,52562627,10834421,10754925,201765194,17593725,12947257,388976942,227454167
 Greece ,10445365,20481,8317434358,3459628950,87827556200,1.04E+11,18992680962,35122577673,2.14E+11,2.15E+11
 Greenland ,56243,56613,588299617,367995324,1329743575,1585609516,350129469,352307865,3184058181,3272512495
 Grenada ,124610,8529,57588259,87185333,448478543,670307836,102531474,129716340,1062761900,1115287981
 Guatemala ,17608483,4791,8079956883,4637037000,15296700178,27577195374,5730678217,19531536599,84360880033,85985881813
 Guinea ,13531906,1046,4070368272,331672269,10334564034,8387189025,687276919,2758664169,14154315104,16036108888
 Guyana ,804567,11063,1085118047,499446728,6633816903,6149475117,324791379,394358826,8900831478,8044499719
 Haiti ,11447569,1665,3925920865,786989613,1354909304,5700136415,807796688,4521741904,19064726488,19043741493
 Honduras ,10278345,2546,3145396350,1652157616,10957712323,17639458712,1809731597,4813392974,26171879119,28488721296
" China, Hong Kong SAR ",7494578,52777,333828081,13616501001,7.51E+11,7.34E+11,28539900665,74884138628,3.96E+11,3.69E+11
 Hungary ,9709786,18139,6100253732,9415333357,1.48E+11,1.48E+11,16440055090,19070782832,1.76E+11,1.82E+11
 Iceland ,370335,69996,1158138673,1825391146,9779499273,10236699691,2251445777,2600055371,25921824912,25602419210
 India ,1407563842,2239,5.38E+11,2.33E+11,6.85E+11,7.65E+11,1.71E+11,3.06E+11,3.15E+12,3.20E+12
 Indonesia ,273753191,4217,1.58E+11,1.24E+11,2.56E+11,2.24E+11,1.03E+11,1.83E+11,1.15E+12,1.19E+12
 Iran (Islamic Republic of) ,87923432,6556,74688030049,22205985348,1.32E+11,1.31E+11,49061589273,68557284436,5.76E+11,5.95E+11
 Iraq ,43533592,4645,8215737103,12281813308,90356082180,59120321679,17946708492,16712951302,2.02E+11,2.04E+11
 Ireland ,4986526,76726,5131383886,10310898206,6.78E+11,4.79E+11,92450618407,34361889295,3.83E+11,5.04E+11
 Israel ,8900059,53302,5137600696,27810713649,1.43E+11,1.22E+11,67973553853,47347577109,4.74E+11,4.82E+11
 Italy ,59240329,36216,40667342822,94194975857,6.89E+11,6.39E+11,1.67E+11,2.83E+11,2.15E+12,2.11E+12
 Côte d'Ivoire ,27478249,2462,14233189607,2564575750,18145708023,17677646635,6783837589,9173432184,67652582611,69764830609
 Jamaica ,2827695,5023,1222560147,1198152311,4410860416,7272035896,866934664,2854173958,14203940166,14657583648
 Japan ,124612530,41162,51411331187,2.76E+11,9.10E+11,9.36E+11,4.91E+11,7.33E+11,5.13E+12,4.94E+12
 Kazakhstan ,19196465,9168,9867478032,11236108545,66124956710,47301125244,17270276997,35572386727,1.76E+11,1.93E+11
 Jordan ,11148278,4038,2373239437,1219718310,13817299977,23183070128,3788732394,4160563380,45011408451,45243661972
 Kenya ,53005614,2051,24748900929,7729288852,11662727161,22179797338,15304348594,9829675795,1.09E+11,1.10E+11
 D.P.R. of Korea ,25606518,662,3986607750,1708546179,983898021,1866412805,150754075,33500905,16941428838,16750452731
 Republic of Korea ,51830139,35329,32409935734,93300620219,7.61E+11,6.96E+11,1.43E+11,1.58E+11,1.83E+12,1.81E+12
 Kosovo ,1662009,5792,651628408,799389338,3144505536,6139441731,581956725,1476130871,9625975090,9412100728
 Kuwait ,4250114,36453,587282629,3496643117,71862575332,51209218303,9844694498,7106357710,1.55E+11,1.37E+11
 Kyrgyzstan ,6527743,1294,1204656306,678954890,3300229055,5939553611,585638216,1640220365,8449624676,8740681889
 Lao People's DR ,7425057,2414,3042921865,1737899190,6429029173,6980929396,539084904,2347205368,17922236523,19074407740
 Lebanon ,5592631,6521,1543120948,377999642,16948666342,35206818890,2133764814,6750772594,36468548455,37944879049
 Lesotho ,2281454,1224,100249072,49958336,1091501948,2256658227,103813841,178927352,2793629761,2373416386
 Latvia ,1873919,20876,1637234295,1918844762,25295205509,26660217928,4465544853,5818383326,39119352197,39853501580
 Liberia ,5193416,413,1635261976,37821731,829969595,1288915510,119817581,109099181,2146115577,2444888955
 Libya ,6735277,5839,1511274031,1287724514,15471905680,11204097476,1595504400,2838429730,39326665494,39005706444
 Liechtenstein ,39039,198294,9165894,268417183,4621771742,3644938077,223940541,479548203,7741217674,6607749611
 Lithuania ,2786651,22926,2201850864,4217976017,53483244791,50480361763,8980478916,10720015485,63887018863,66445256585
 Luxembourg ,639321,93369,166752191,4500637941,1.81E+11,1.51E+11,8388618766,7475769150,59692666902,85506243834
" China, Macao SAR ",686607,51684,,1213184135,26405991082,22691434582,788052587,3117900409,35486600602,29905071578
 Madagascar ,28915653,489,3466856929,1014292122,3042228890,4254240652,1151112389,1861302943,14144956116,14449793300
 Malawi ,19889742,602,3255907239,371165152,1166173101,4245488943,1084798496,1517826387,11978680998,12199195237
 Malaysia ,33573874,10769,35828708048,13404299036,2.57E+11,2.30E+11,34558463786,69405586537,3.62E+11,3.73E+11
 Maldives ,521457,9391,284647648,275598079,4096963875,3663567979,408930566,1602790799,4896768208,5405576797
 Mali ,21904983,849,6792621701,820292255,5662920941,7697809993,1011303261,1968589178,18589076620,19157055766
 Malta ,526748,31132,158014105,754943140,30186726112,27274701195,2178489377,1818818049,16398973526,17720643244
 Mauritania ,4614974,2144,1857172661,388296978,3943762109,6091765678,576151915,1118132539,9893665390,9996240419
 Mauritius ,1298915,9005,376435535,537732639,5077288761,6196756542,1073378980,1470889384,11696307217,11525219786
 Mexico ,126705138,9956,49503262341,89566500593,5.23E+11,5.45E+11,94029025198,2.71E+11,1.26E+12,1.27E+12
 Monaco ,36686,234317,,784866470,2531460816,2698412286,641400070,2009830609,8596156574,8596156574
 Mongolia ,3347782,3889,1991635340,415859697,9031863589,9106679262,759634980,1588792612,13021197490,15098022752
 Republic of Moldova ,3061506,4592,1420712131,1078142124,4188838732,7933434732,1336871617,2287332701,14056972757,13680098590
 Montenegro ,627859,9529,366767770,292018583,2500549564,3642840155,481570923,1138073657,5983139051,5809147307
 Montserrat ,4417,16204,450794,4493067,24617346,57521453,5060370,5332543,71572379,71552836
 Morocco ,37076584,3801,17195224421,8014032156,47048311914,60032592654,7919577963,17784645283,1.41E+11,1.43E+11
 Mozambique ,32077072,481,4337879339,204911964,4951390235,10859636829,1357103287,1655405341,15436765197,15776758633
 Oman ,4520471,18184,1870357633,6918675147,46324248882,36502257547,4690590479,8976703956,82199438075,88191977477
 Namibia ,2530151,4760,1149835034,221860498,3908420106,6035644872,548550575,1414370444,12044062492,12236251093
 Nauru ,12511,17434,3702092,4626287,7329761,137508219,29646810,34131340,218119496,155015921
 Nepal ,30034989,1212,7719330708,1844562571,1886115402,13976694541,2349367580,5444395145,36404290306,36207179306
 Netherlands ,17501696,56574,15667760888,47427886434,8.40E+11,7.37E+11,89203521605,1.45E+11,9.90E+11,1.01E+12
 Curaçao ,190338,15409,5246814,110452876,1490339596,2049501071,178715013,406585134,2932918666,2699612444
 Aruba ,106537,27927,841446,152546052,2154231633,2133552215,247731699,825225108,2975259102,3126019399
 Sint Maarten (Dutch part) ,44042,25320,,28190674,1180649816,1198509739,144820260,235496777,1115132401,1153842827
 New Caledonia ,287800,34994,197698925,978283888,1996649815,3929184076,722743847,1054621146,10071349707,10071349707
 Vanuatu ,319137,3183,213139939,51999944,94288796,414459836,81862755,206674143,1015810511,980571481
 New Zealand ,5129727,47876,14241488418,16937005013,56314188711,66382798133,16566555427,28028098566,2.46E+11,2.50E+11
 Nicaragua ,6850540,1927,2169868164,637431561,6563591377,8322721665,595243804,2056085842,13198637240,14013014452
 Niger ,25252722,585,5441145887,687567048,1533845410,4060936624,719811797,2049185666,14777138298,14915001994
 Nigeria ,213401323,1868,1.01E+11,40594204014,46274474184,51013026044,51768213546,60642496205,3.99E+11,4.31E+11
 Norway ,5403021,93149,7780093132,26158556461,2.00E+11,1.41E+11,32996507567,37981140861,5.03E+11,4.82E+11
 Micronesia (FS of) ,113131,3934,90881445,7536789,97800000,289000000,23335764,52522047,445078050,404178050
 Marshall Islands ,42050,7455,60476000,12933000,103478775,196420769,22259000,32625000,313462675,256979000
 Palau ,18024,16252,8316513,18102991,13315887,173663248,8320944,41695727,292932037,217804328
 Pakistan ,231402117,1584,77657773775,8497230574,31024419774,61622526877,34737229970,63235460659,3.66E+11,3.43E+11
 Panama ,4351267,14012,1653008354,9191713711,32479296000,26481419000,8004669382,12706147103,60968596257,63605065781
 Papua New Guinea ,9949437,2607,5145732000,1516827000,12198558491,9504257385,1000293000,2886964500,25938447797,26594518500
 Paraguay ,6703799,5842,4213161287,3136800787,14122303042,13249910065,2733363328,4791348285,39162334271,40458386036
 Peru ,33715471,6446,15561179655,17150385679,64933252177,58979721002,17487966332,29542172617,2.17E+11,2.23E+11
 Philippines ,113880328,3584,39678420574,27356761112,1.01E+11,1.49E+11,25279078744,76916279078,4.08E+11,3.94E+11
 Poland ,38307726,16908,15110631595,40852771724,3.93E+11,3.71E+11,63242363896,1.07E+11,6.48E+11,6.79E+11
 Portugal ,10290103,24353,5556320007,10572030708,1.06E+11,1.13E+11,17304256513,38549494362,2.51E+11,2.54E+11
 Guinea-Bissau ,2060721,760,500610377,29213939,280981048,512717373,104133078,413832568,1565368514,1563164283
 Timor-Leste ,1320942,1842,316079516,234683389,740004120,1141694059,57274431,294214789,2433018215,2004164748
 Puerto Rico ,3256028,22598,711000000,980400000,73850800000,58324800000,3091300000,10910500000,73580800000,1.07E+11
 Qatar ,2688235,65863,536032165,24131484838,1.06E+11,61326923077,10117575226,14697209085,1.77E+11,1.80E+11
 Romania ,19328560,14416,12356911367,18610179269,1.16E+11,1.32E+11,35404482724,36563477216,2.79E+11,2.84E+11
 Russian Federation ,145102755,11960,67533078862,1.21E+11,5.49E+11,3.79E+11,1.16E+11,2.60E+11,1.74E+12,1.78E+12
 Rwanda ,13461888,795,2663295502,766721607,2110001677,3850803636,831457996,1226956872,10699102688,11069922510
 Saint Kitts and Nevis ,47606,17835,12248148,140111111,316824066,472224183,88103704,75800000,849050390,860844444
 Anguilla ,15753,17312,2603704,23837037,229889447,311110493,14933333,79022222,272722052,302714815
 Saint Lucia ,179651,9655,33178589,72646672,542885843,800822401,139804834,490137949,1734513535,1764902581
 St. Vincent and the Grenadines ,104332,8395,57463034,53196295,138551578,415725926,92244538,119241882,875838113,880564698
 San Marino ,33745,45440,232469,73795453,3047387074,2613132369,114841948,245494106,1533364674,1701595072
 Sao Tome and Principe ,223107,2512,69134978,29323309,87044116,213366304,61904630,166481271,560381545,554603297
 Saudi Arabia ,35950396,23642,19267089709,45513407534,2.90E+11,2.03E+11,45671772961,76680354158,8.50E+11,8.34E+11
 Senegal ,16876720,1602,4233226378,858907702,6398308754,12200873996,2040410377,3789490096,27041622169,27625162484
 Serbia ,7296769,8377,4118418237,3766796948,34309384827,39259651071,5720720128,8309159146,61127521109,63068108024
 Seychelles ,106471,11500,37114693,35814497,1434884762,1599359588,94382428,196566033,1224371169,1286662389
 Sierra Leone ,8420641,499,2441133704,32608500,719316463,1761846791,121293937,249172528,4200434953,4249234287
 Singapore ,5941060,58770,133310176,10845017306,7.34E+11,6.09E+11,43963924624,77260355543,3.49E+11,3.97E+11
 Slovakia ,5447622,21124,2031898178,6256266906,1.09E+11,1.10E+11,11939867511,13710759740,1.15E+11,1.17E+11
 Viet Nam ,97468029,3564,45988233891,21852411532,3.42E+11,3.41E+11,29539550766,40559151977,3.47E+11,3.66E+11
 Slovenia ,2119410,28724,1043199426,3340389803,51640294109,47725668510,5596049437,7595978144,60877394215,61748586535
 Somalia ,17065581,444,4033256247,281144862,1532000000,6544000000,628783908,712450371,7585376432,7628276434
 South Africa ,59392255,6920,10339669907,9540895284,1.31E+11,1.05E+11,26913986289,50836957168,4.11E+11,4.19E+11
 Zimbabwe ,15993524,1471,2134432052,774679206,6128770937,7452806195,1500260268,6371012537,23523946980,24118150864
 Spain ,47486935,30216,37275243612,71987488973,4.99E+11,4.77E+11,1.02E+11,2.33E+11,1.43E+12,1.43E+12
 South Sudan ,10748272,386,171289883,256063497,1490507224,2017971729,374170883,348448282,4144495715,4304069241
 Sudan ,45657202,745,7074807530,1219462716,2573536170,5784766937,3170408748,6043576260,34023148464,35867261255
 Suriname ,612985,4588,296223189,229747222,1766134663,1706376363,198866785,763222842,2812394345,3223849313
 Eswatini ,1192271,3586,401475827,129308540,2171065349,2121942052,235885112,714092126,4275073609,4732011477
 Sweden ,10467097,62469,8200134428,37899897565,2.89E+11,2.62E+11,74236582199,65556768648,6.54E+11,6.36E+11
 Switzerland ,8691406,90045,5069009269,39254346512,5.69E+11,4.48E+11,64280177275,1.32E+11,7.83E+11,8.13E+11
 Syrian Arab Republic ,21324367,997,4061155154,668397571,6363811795,6422069318,1868476685,4433297290,21250485765,19718893437
 Tajikistan ,9750064,1047,2111921194,708268303,2162310547,4260262550,705836579,1253761435,10213147997,8746309306
 Thailand ,71601103,6818,43250334885,13732548920,2.95E+11,2.96E+11,37323185804,1.01E+11,4.88E+11,5.06E+11
 Togo ,8644829,946,1551643814,221505564,2356278736,3131487428,1026978396,678268985,8181907157,8160194303
 Tonga ,106017,4699,77031257,35665378,59095773,287133932,21320834,48700827,498179544,471831997
 Trinidad and Tobago ,1525663,15316,235644490,1201245953,11347080413,8610899685,1229057947,5511254184,23367069693,24460196271
 United Arab Emirates ,9365145,43217,3556984202,32396771083,4.25E+11,3.48E+11,29800974251,60785190203,4.05E+11,4.05E+11
 Tunisia ,12262946,3679,4733425579,1876458239,19667294892,24383185820,3296156691,6839229907,45112589000,46687298709
 Türkiye ,84775404,9519,45399712020,41491742720,2.89E+11,2.91E+11,94603608855,1.28E+11,8.07E+11,8.19E+11
 Turkmenistan ,6341855,8070,5732306511,3847641651,40057979134,23805746108,4093016852,2678884253,51178916720,53954394309
 Turks and Caicos Islands ,45114,22878,4067945,96990571,734053127,529852492,96093934,302064615,1032125773,943269768
 Tuvalu ,11204,7156,5258318,8338189,8163790,56973355,2554040,8638665,80175578,60170178
 Uganda ,45853778,915,10000772280,2292619460,5665596451,10540836310,2143202700,4479975749,41950293762,42661087760
 Ukraine ,43531422,4697,21275195002,5564206781,81532234815,83781101417,20143340365,29069760854,2.04E+11,2.00E+11
 North Macedonia ,2103330,6285,1057729694,662630184,9152027771,11365525325,1009794818,2293070504,13218812522,13881177347
 Egypt ,109262178,3778,48710599334,30758142541,44980585703,82182093276,38550842048,65655681490,4.13E+11,4.26E+11
 United Kingdom ,67281039,46338,21131537302,1.66E+11,8.75E+11,8.99E+11,2.76E+11,3.58E+11,3.12E+12,3.13E+12
 U.R. of Tanzania: Mainland ,61870726,1117,18380110642,9733270274,10081975579,11731968361,6050619910,6864031222,69078899566,70296924623
 Zanzibar ,1717608,1190,563025564,194188766,298366403,347196358,94004423,425674657,2044323819,2080370103
 United States ,336997624,70081,2.07E+11,9.45E+11,2.54E+12,3.40E+12,2.49E+12,3.52E+12,2.36E+13,2.33E+13
 Burkina Faso ,22100683,865,3446317424,641185343,5424483543,5848263830,838024778,1780720057,19113903222,19737616003
 Uruguay ,3426260,16498,3909858221,2714508318,18674430265,15021487601,5102265724,7220607365,56527549591,59317612018
 Uzbekistan ,34081449,2023,17297620939,4317095766,16436730553,27794836661,4604505732,4484443837,68960168219,69238903166
 Venezuela (Bolivarian Republic of) ,28199867,3528,5702517672,2516933712,29554197590,49964407683,7160806643,25569357335,99479326894,1.12E+11
 Samoa ,218764,3825,79620468,37057344,97807382,430195258,62978113,215655199,836816618,857261321
 Yemen ,32981641,301,1911150983,491907737,1183138429,4140871555,1527507375,1997207248,9929301347,9946815477
 Zambia ,19473125,1062,628528683,3252116619,11501344444,7735234719,2060541275,3881353112,20679619455,21313366728
